product_company,url,category,relationship,positioning_target,public_pricing,core_workflow,ai_model,privacy_posture,strengths,weaknesses,likely_moat,engine_overlap,evidence_confidence,sources
LoopCV / LoopCV,https://www.loopcv.pro/,"Automated discovery, applying and outreach",Substitute,Applicants seeking inexpensive high-volume automation.,Free; paid from €9.99/month.,"Daily scanning across 30+ boards, matching, tailored CVs, auto-apply, recruiter emails, follow-up, ATS checking, mock interviews, tracking and API.",Provider not publicly named.,Privacy permits sharing needed to complete applications and supports export/deletion; detail is relatively sparse.,"Inexpensive automation, outreach and API breadth.",Volume/reputation risk and limited control detail.,Integrations and aggregation (analyst inference).,Broad on discovery/tracking/outreach; conflicts with no automatic employer actions.,M,https://www.loopcv.pro/pricing/index.html; https://blog.loopcv.pro/how-loopcv-works/; https://www.loopcv.pro/en/privacy/
LazyApply / LazyApply,https://lazyapply.com/,Browser auto-apply,Substitute,High-volume applicants using common boards and ATSs.,Basic $99/year; Premium $149/year.,"Job GPT applies on Greenhouse, Dice, Indeed and ZipRecruiter with autofill and multiple resumes.",Model detail limited.,"Privacy permits broad vendor/marketing sharing and international transfers; Google API data is excluded from generalized AI training, but some data may be retained up to six years.",Cheap volume and simple browser execution.,"Long retention, platform-terms risk and weak quality controls.",Form automation integrations (analyst inference).,Application execution only; opposite trust posture.,M,https://lazyapply.com/; https://lazyapply.com/privacy
Massive / Massive,https://usemassive.com/,Autonomous application service,Substitute,Applicants wanting vetted opportunities plus hands-off execution.,Exact public price not disclosed.,"Hand-vetted jobs, matching, up to 200 applications/month, tailored materials, hiring-team messages, visa filters, preview-before-send, manual mode and Autopilot.",Model not publicly specified.,"May 2026 privacy policy covers relocation/work authorization, proxy email, Gmail access/replies, encrypted OAuth tokens, inferences and behavioral-advertising sharing.",Polished automation and submission visibility.,Sensitive mailbox access and automatic employer-action/reputation risk.,Application and communications infrastructure (analyst inference).,Broad overlap but opposite approval philosophy.,H,https://usemassive.com/; https://usemassive.com/privacy
scale.jobs / scale.jobs,https://scale.jobs/,Human application delegation,Substitute,Applicants paying for done-for-you application operations.,"One-time $199/250 applications, $299/500, $399/1,000, $1,099 Ultimate; add-ons extra.","Humans complete applications with team chat and custom letters; optional job finding, AI-custom resumes, expert resume and LinkedIn services.",AI is optional; named provider not found.,"September 2025 privacy policy describes human+AI assistance, encrypted credentials and platform-term risk; users remain responsible for review.",Human accountability and transparent unit pricing.,"Quality-control, labor-economics and credential-sharing risk.",Operations and application playbooks (analyst inference).,Application-operations substitute rather than evidence/decision product.,H,https://scale.jobs/pricing; https://scale.jobs/privacy
Apply Hero / Apply Hero,https://www.applyhero.ai/,AI auto-apply,Substitute,Price-sensitive high-volume applicants.,"Free; Pro $29/month for 250 applications; Scale $59/month for 1,000.","AI finds jobs, customizes applications/cover letters and applies automatically using resume, salary and location preferences; includes resume creation/scoring.",Model not publicly specified.,"Privacy says no sale and covers content, actions, transactions, vendors and deletion.",Low-cost scale plus tailoring.,No public approval/evidence architecture and high employer-action risk.,Automation throughput (analyst inference).,Application execution and basic documents.,H,https://www.applyhero.ai/; https://www.applyhero.ai/privacy
JobCopilot / JobCopilot,https://jobcopilot.com/,Company-career-page discovery and auto-apply,Direct,Applicants who want broad official-company-page coverage and automation.,Premium from $0.93/day; Elite from $1.05/day; totals vary by term.,"Searches 500,000+ company career pages, up to 50 applications/day, filters, resume tailoring with review, learned edited answers, tracking, hiring-manager emails, interview and salary negotiation.",Provider not publicly named.,Privacy covers CV/job and optional demographic data; auto-apply acts on the user's behalf and at user risk.,"Official-page sourcing, learned answers and review option.",Autonomous-action risk; no public Career Canon or version lineage.,Career-page coverage and form integrations (analyst inference).,"Extremely high across discovery, learning, tailoring, tracking and outreach.",H,https://jobcopilot.com/pricing/; https://jobcopilot.com/privacy-policy
AIApply / AIApply,https://aiapply.co/,End-to-end AI suite and auto-apply,Partial,"Applicants seeking documents, interviews and application automation in one tool.",Free limited tier and paid Pro/credits; exact current prices not reliably public without dashboard access.,"GPT-4 resumes/letters, job board, AutoApply, scanner, translation, Interview Buddy, multiple versions and Review Mode.",Public product copy identifies GPT-4; provider terms say minimum prompts are sent.,March 2026 privacy policy says providers are instructed not to train; Review Mode prevents automated selection/submission and retention rules cover audio/transcripts/mailbox data.,"Broad suite, versions, review mode and more explicit AI privacy than many peers.",Pricing opacity and residual auto-action/privacy risk.,Integrated localized workflow and automation (analyst inference).,"High on documents, interviews, versions and applications; low on canon/decision depth.",H,https://aiapply.co/; https://aiapply.co/privacy-policy
LinkedIn Premium Career / LinkedIn,https://premium.linkedin.com/careers/career,Professional network and job marketplace,Partial,Individual job seekers leveraging the dominant professional/recruiter graph.,US pricing starts at $39.99/month or $239.88/year; regional variation applies.,"AI profile writing, job-post insights, Top Applicant/Top Choice, advanced filters, InMail drafting, five InMails/month and Learning.",LinkedIn help says AI insights can use Azure OpenAI and sometimes Bing; users must review outputs.,"Privacy policy covers profile, resume, application and interaction data; enterprise employers are not shown private searches/messages unless shared. Terms prohibit unauthorized scraping/bots.","Unmatched recruiter graph, identity layer and first-party behavior.","No durable official-posting archive, verified Career Canon or relocation decision workflow.","Network effects, professional identity and recruiter distribution.","Very high on discovery, fit cues, outreach and profile; limited cross-stage evidence controls.",H,https://www.linkedin.com/help/linkedin/answer/a7474394; https://www.linkedin.com/help/linkedin/answer/a1728404; https://www.linkedin.com/legal/privacy-policy; https://www.linkedin.com/legal/user-agreement
Indeed Career Scout and Apply For Me / Indeed,https://www.indeed.com/careerscout,Job marketplace and candidate agent,Partial,Mass-market job seekers using Indeed's inventory and application rails.,Core candidate search and Career Scout are free; no separate public candidate price.,"Conversational role suggestions, resume customization, messaging, interview practice, My Jobs tracking and a limited July 2026 Apply For Me test.",Provider/model not publicly named; powered by Indeed job-search and hiring data.,"Terms say interactions may be stored/analyzed, outputs can be wrong, users must verify details and are responsible for AI answers; submitted applications can be irreversible.","Enormous job inventory, distribution and application/outcome data.","Aggregated-listing truth, one-profile orientation and weak visible provenance.",Marketplace liquidity and feedback/outcome data.,Very high; it invalidates any generic end-to-end job-search novelty claim.,H,https://www.indeed.com/career-advice/finding-a-job/what-is-indeed-career-scout; https://www.indeed.com/news/releases/indeed-tests-apply-for-me-job-search; https://www.indeed.com/legal?hl=en_US; https://www.indeed.com/legal/privacyfaq
Glassdoor / Glassdoor,https://www.glassdoor.com/about/,"Employer reputation, salary intelligence and jobs",Adjacent,Job seekers performing employer and compensation diligence.,No paid candidate subscription surfaced on reviewed official pages.,"Reviews, ratings, salary reports, company intelligence, jobs and personalized salary estimates; job activity is synchronized with Indeed.",Model not publicly disclosed.,Trust Center emphasizes anonymous contributions; privacy choices describe sharing with Indeed affiliates/advertising partners and opt-outs.,Large employer-review and salary corpus.,"Crowdsourced data can be uneven, stale or hard to validate; little workflow depth.","Accumulated reviews, salary submissions and brand.","Employer diligence, compensation context and decision support.",M,https://www.glassdoor.com/about/onelogin/; https://www.glassdoor.com/about/trust/; https://www.glassdoor.com/about/doNotSell.htm/
Welcome to the Jungle / Otta,https://www.welcometothejungle.com/en/jobs,Curated job marketplace and candidate matching,Partial,"Candidates wanting curated roles, employer context and manageable tracking.",Candidate price not publicly stated on reviewed pages.,"Curated jobs, salary/location/remote filters, AI Candidate Coach, saved opportunities, application management, recruiter visibility and AI-assisted CV/profile completion with acceptance.",April 2026 privacy policy identifies OpenAI as subprocessor.,"Says OpenAI does not train on user data, provides visibility controls and human explanation/intervention rights, and recognizes EU AI Act matching risk.",Integrated candidate workflow and unusually explicit AI governance.,"Employer marketplace without a verified canon, multi-model lineage or deep executive economics.",Curated employer marketplace and employer-brand content.,"High on discovery, fit, tracking and coach-like assistance.",H,https://us.welcometothejungle.com/terms-and-conditions/candidates; https://www.welcometothejungle.com/en/pages/privacy-policy-candidates; https://press.welcometothejungle.com/news/uk-recruitment-platform-otta-acquired-by-welcome-to-the-jungle
Wellfound / Wellfound,https://wellfound.com/,Startup job marketplace,Partial,Startup candidates and employers.,Free for job seekers; employer Recruit Pro $499/month; promoted jobs from $200; higher tiers custom.,"Salary/equity-forward listings, one-click profile applications, filters, founder/recruiter contact and salary tools.",Public DPA identifies Anthropic for LLM/API processing and AI ranking.,"Privacy policy covers resumes, work history, salary preferences, applications, interviews and outcomes; profile visibility follows settings.","Startup specialization, salary/equity transparency and founder access.",Vertical-limited and profile-centric; no source evidence OS.,Startup marketplace liquidity and direct-founder network.,"Discovery, compensation and outreach for startup executives.",H,https://help.wellfound.com/article/799-does-angellist-cost-anything-for-job-seekers; https://wellfound.com/recruit/pricing; https://wellfound.com/privacy
Levels.fyi / Levels.fyi,https://www.levels.fyi/,Compensation and leveling intelligence,Adjacent,Technology professionals and employers making pay/level decisions.,"Negotiation coaching $1,250 flat; startup evaluation $250; employer products quote based.","Normalized salary, equity, level, company and location data; jobs, talent pool, negotiation coaching, resume review and AI summaries.",Model not publicly named.,"Says submissions are verified and levels mapped, while terms warn data is submission-based, approximate and not guaranteed.",Materially deeper compensation/equity/leveling data than a general engine can build quickly.,Technology-heavy and not a job-search OS.,Dense normalized compensation and leveling corpus.,"Directly pressures compensation, equity and offer-decision logic.",H,https://www.levels.fyi/services/; https://www.levels.fyi/about/; https://www.levels.fyi/about/terms.html; https://www.levels.fyi/about/privacy.html
Final Round AI / Final Round AI,https://www.finalroundai.com/,"Interview, resume and application suite",Partial,Candidates seeking interview help and broad AI execution.,"Official July 2026 overview: $90 monthly, $180 quarterly or $300 annually; home says plans start at $25/month; Job Hunter add-on $24.99-$74.99. Disclosures conflict.","Live Interview Copilot, mock interviews, resume tailoring, prep and automated job applications.",Provider/model not public.,"Privacy covers resumes, postings and interview transcripts and permits data to test/train/improve AI; FAQ says audio is not stored absent opt-in recording.",Immediate interview value and broad feature bundle.,"Covert live assistance, auto-application and inconsistent pricing create trust/reputation risk.","Interview-session corpus, distribution and brand.",High on resume/interview/application surfaces; opposite ethical posture on live assistance.,M,https://www.finalroundai.com/blog/what-is-final-round-ai; https://www.finalroundai.com/frequently-asked-questions; https://www.finalroundai.com/privacy-policy
Huru / Huru,https://huru.ai/,AI mock interviews,Adjacent,Individuals seeking low-friction solo practice.,Official articles market unlimited practice for free; current paid tier not found.,"Custom questions, practice, instant feedback, tone/pacing/body-language analysis, communication scores and progress tracking.",Provider/model not public.,"Public privacy page exists, but current training, retention and subprocessor detail was not clear.",Accessible and focused practice loop.,Narrow scope and thin public privacy/model disclosure.,Practice content and accumulated feedback data (limited inference).,Interview-prep only.,L,https://huru.ai/practice-interviews-alone-solo-improvement/; https://appv2.huru.ai/privacy-policy/
Big Interview / Skillful Communications,https://www.biginterview.com/,Structured interview training and resume review,Adjacent,"Consumers, universities, governments, nonprofits and workforce programs.","Personal: $39 monthly, $99/3 months or $299 lifetime; enterprise quote.","Curriculum, question libraries, mock video, AI feedback, ResumeAI and cover-letter generation.",Provider not named on reviewed pages.,"June 2026 privacy covers resumes, answers and audio/video; says cover-letter AI uses enterprise API config with no storage or model training.",Mature curriculum and institutional distribution.,"No discovery, official-source capture or decision OS.","Training content, institutional contracts and practice corpus.","Interview, resume and cover-letter layers.",H,https://www.biginterview.com/pricing/personal; https://www.biginterview.com/privacy-policy
interviewing.io / interviewing.io,https://interviewing.io/,Technical mock interviews,Adjacent,Software engineers and technical candidates.,AI interviews free; human interviews start at $179 and vary by company/topic.,Anonymous voice-only practice with engineers plus AI coding and systems-design interviewers.,Publicly offers AI interviewers; model not named.,Privacy allows anonymized research; terms grant broad perpetual license over submitted interview content and cannot guarantee interviewer confidentiality.,Unusually realistic technical practice and expert network.,"Expensive, technical-role focused and broad content license.",Interviewer network and longitudinal performance corpus.,Specialized interview-prep adjacency.,H,https://interviewing.io/faq; https://interviewing.io/privacy; https://interviewing.io/terms
Exponent / Exponent,https://www.tryexponent.com/,Technology-role interview education and community,Adjacent,"Product, engineering, data, design and related candidates.",Free; $79 monthly; annual advertised at equivalent $12/month.,"Role courses, verified question libraries, peer mocks, AI mocks/feedback, referrals and community.",Provider/model not public.,"September 2025 privacy covers usage, US processing, deletion and Data Privacy Framework; no clear no-training pledge.","Specialized content, peer network and company-specific prep.",Technology/product skew and no application evidence workflow.,Content/question library and community.,"Interview-prep, referrals and learning.",H,https://www.tryexponent.com/upgrade; https://www.tryexponent.com/privacy
Yoodli / Yoodli,https://yoodli.ai/,AI speech coach and roleplay,Adjacent,"Individuals, coaches and enterprises improving communication.",Starter free; Pro $8/month annually; Advanced $20/month annually; team/enterprise quoted.,"Interview, presentation, pitch and sales roleplay, follow-up questions, delivery/content feedback and progress tracking.",Provider/model not public.,Starter/Pro data may improve platform; Advanced/Team/Enterprise excluded from AI training by default; says data is not sold.,Strong communication feedback and coach/enterprise channel.,Generic speech improvement rather than opportunity evidence.,Speech/roleplay corpus and enterprise distribution.,Interview delivery and coach workflows.,H,https://yoodli.ai/pricing; https://support.yoodli.ai/en/articles/9550461-yoodli-overview; https://yoodli.ai/faq
Google Interview Warmup / Google,https://grow.google/certificates/interview-warmup/,Free interview-practice utility,Adjacent,Anyone needing simple private practice.,Free.,"Expert-written questions, real-time transcription and AI extraction of job terms, talking points, pacing and clarity; intentionally does not grade.","Google AI, model not named.",Google says audio and transcripts are not saved and remain private to the user.,"Free, simple, trusted and privacy-forward.","Shallow feedback and no materials, tracking or decision support.",Google distribution and trust.,Narrow interview-prep substitute.,H,https://grow.google/certificates/interview-warmup/
Notion / Notion Labs,https://www.notion.com/pricing,"Workspace, database and agent platform",Substitute,"Individuals, coaches and firms willing to assemble a custom system.",Free; Plus $10/member/month; Business $20/member/month annually; Enterprise custom.,"Databases, projects, documents, version history, forms, dashboards, automations, Notion Agent and enterprise search.",Uses OpenAI and Anthropic among providers.,"Says providers cannot train on customer data and workspace data is not used to train by default; 30-day provider retention on non-enterprise, zero retention on enterprise.","Extreme configurability, low price and familiar collaboration.","DIY setup, no job-specific source semantics or unsupported-claim controls.","Workspace ecosystem, templates and user familiarity.","Can approximate tracking, canon, approvals and versioning manually.",H,https://www.notion.com/help/ai-safety; https://www.notion.com/pricing
Airtable / Airtable,https://airtable.com/pricing,Relational app builder and workflow platform,Substitute,"Individuals, coaches and service firms building custom operating systems.",Free; Team $20/user/month; Business $45/user/month annually; Enterprise custom.,"Relational records, interfaces, forms, automation, reporting, permissions, AI app building and agents.",Provider/model varies by Airtable AI.,March 2026 AI terms say Airtable/providers do not train generative models on customer input/output and outputs require human fact-checking.,"Powerful schema, approval automation and coach/client workspaces.",Setup burden and no career-specific evidence constraints.,Flexible database/app-builder ecosystem.,"Can model the entire tracker/canon/version/approval layer, but not specialized judgment.",H,https://www.airtable.com/company/ai-terms; https://support.airtable.com/docs/airtable-ai-billing; https://www.airtable.com/company/trust-and-security
Mesh (formerly Clay) / Clay,https://clay.earth/,Personal relationship intelligence and CRM,Adjacent,Executives and teams managing a private professional network.,Personal free; Pro $10/month annually; Team $40/seat/month; Enterprise quote; support pages also list $20 monthly Pro.,"Syncs contact metadata from email, calendar, social and messaging; reminders, updates, search and Nexus AI over the contact graph.",Nexus AI; provider details not emphasized.,"Says it does not sell data, reads email headers rather than bodies, does not train Nexus/partner models on user data and deletes backups within 90 days.",Rich private relationship graph and strong privacy posture.,"No jobs, evidence, resumes or application pipeline.",Enriched personal network graph and polished UX.,Warm-introduction discovery and outreach context.,H,https://clay.earth/pricing; https://library.clay.earth/hc/en-us/articles/7485741581339-Security-and-Privacy
