product_company,primary_url,supporting_urls,accessed,evidence_confidence
LHH Career Transition / LHH (Adecco),https://www.lhh.com/en-us/solutions/outplacement/,https://www-prd.lhh.com/us/en/privacy-policy/,2026-07-14,H
Right Management / ManpowerGroup,https://www.right.com/solutions/outplacement,https://www.right.com/privacy-policy; https://www.right.com/north-america-privacy-policy,2026-07-14,H
Randstad RiseSmart / Randstad Enterprise,https://www.randstadenterprise.com/solutions/talent-transition/outplacement/,https://www.randstadenterprise.com/compliance-security-and-privacy/,2026-07-14,H
Careerminds / Career.io,https://careerminds.com/outplacement,https://careerminds.com/news/careerminds-acquires-keystone-partners-renovo-job-copilot-and-outplacement-australia-to-create-a-global-leader-in-end-to-end-workforce-solutions; https://careerminds.com/privacy-policy,2026-07-14,H
INTOO Executive Outplacement / INTOO,https://www.intoo.com/us/solutions/outplacement/executive-outplacement/,https://www.intoo.com/us/solutions/outplacement/outplacement-pricing/,2026-07-14,H
"Challenger CareerSuite / Challenger, Gray & Christmas",https://www.challengergray.com/outplacement-services/,https://www.challengergray.com/outplacement-services/,2026-07-14,M
BetterUp / BetterUp,https://www.betterup.com/products/betterup-ai-coaching,https://support.betterup.com/hc/en-us/articles/5023276679835-Plan-Subscription-Management; https://support.betterup.com/hc/en-us/articles/36688702739611-BetterUp-AI-Coach; https://www.betterup.com/trust-and-security,2026-07-14,H
CoachHub AIMY / CoachHub,https://www.coachhub.com/aimy,https://www.coachhub.com/ja/platform-privacy-policy,2026-07-14,H
The Muse Coach Connect / The Muse,https://www.themuse.com/coaching/leadership-coaching,https://www.themuse.com/user/terms,2026-07-14,H
Pathrise / Pathrise,https://www.pathrise.com/swe,https://www.pathrise.com/help-v2,2026-07-14,M
Spencer Stuart / Spencer Stuart,https://www.spencerstuart.com/what-we-do/our-capabilities/executive-search,https://www.spencerstuart.com/who-we-are/newsroom/spencer-stuart-enters-strategic-partnership-with-ai-powered-firm-qlu; https://www.spencerstuart.com/privacy-policy,2026-07-14,H
Heidrick & Struggles / Heidrick,https://www.heidrick.com/en/services/executive-search,https://www.heidrick.com/en/privacy/privacy-notice-english,2026-07-14,H
Russell Reynolds Associates / RRA,https://www.russellreynolds.com/en/capabilities/how-do-i-find-the-best-leaders,https://www.russellreynolds.com/en/privacy-notice,2026-07-14,H
Egon Zehnder / Egon Zehnder,https://www.egonzehnder.com/what-we-do/executive-search,https://www.egonzehnder.com/privacy-policy,2026-07-14,H
True Search / True Platform,https://trueplatform.com/true-search/,https://trueplatform.com/; https://trueplatform.com/contact/opt-out-guide/privacy-policy/,2026-07-14,H
N2Growth / N2Growth,https://www.n2growth.com/services/executive-search/,https://www.n2growth.com/privacy-policy/,2026-07-14,H
BoardProspects / BoardProspects,https://www.boardprospects.com/membership,https://portal.boardprospects.com/privacy,2026-07-14,H
Athena Alliance / Athena Alliance,https://athenaalliance.com/,https://athenaalliance.com/athena-academy/modern-boardroom/,2026-07-14,M
ChatGPT / OpenAI,https://openai.com/chatgpt/pricing/,https://openai.com/chatgpt/pricing/; https://help.openai.com/en/articles/9793128-what-is-chatgpt-pro/; https://openai.com/policies/how-your-data-is-used-to-improve-model-performance/,2026-07-14,H
Claude / Anthropic,https://claude.com/pricing,https://claude.com/pricing; https://privacy.anthropic.com/en/articles/10023580-is-my-data-used-for-model-training,2026-07-14,H
