id,priority,workstream,horizon,recommendation,why_now,acceptance_gate
RANK-02,P0,Scoring and ranking,24 hours,"Stop synthesizing a qualification score in the browser when no persisted scored artifact exists","The fallback gives 55 percent credit to needs_review and creates false precision","Incomplete evidence displays Not scored or a confidence band, never an invented exact score"
RANK-03,P0,Scoring and ranking,24 hours,"Separate opportunity attractiveness, qualification evidence, source confidence, pursuit recommendation, compensation confidence, and relocation friction","Strong Fit can coexist with Qualifications 0 and confuse the decision","No single label conflates search shape with evidence-backed qualification"
RANK-04,P1,Scoring and ranking,30 days,"Version every score with rubric, posting hash, Canon revision, model, timestamp, and confidence","Scores are not currently explainable or auditable enough for trust","Every score has a reproducible explanation drawer and requirement-level evidence"
RANK-05,P1,Scoring and ranking,60 days,"Calibrate scores against human decisions and channel-specific outcomes without claiming causality","Current thresholds encode judgment but not observed calibration","Calibration report shows precision, recall, abstentions, and drift by role family"
SRC-01,P0,Job sourcing,24 hours,"Make search receipts distinguish queued, running, no-results, partial, failed, stale, and complete","Live runs display in progress with zeros and missing fields are coerced to zero","Unknown is never displayed as zero and every terminal state has a reason"
SRC-02,P0,Job sourcing,24 hours,"Reconcile seen, new, changed, unchanged, suppressed, deduped, deferred, and failed counts under one accounting identity","Receipt UI exists but production evidence has not accepted its ledger","The documented equation reconciles for a controlled production run"
SRC-03,P0,Job sourcing,24 hours,"Prove restore from All roles survives reload and future source refresh","Restore code exists while the newest acceptance audit still marks it failed","A suppressed identity is restored, persists, and refreshes only on material source change"
SRC-04,P1,Job sourcing,30 days,"Use one visible source-state ladder from discovery lead through stale or changed posting","Source-backed currently covers link-only, verified, and full-posting states","List, detail, filters, receipts, and materials show the same six states"
SRC-05,P1,Job sourcing,30 days,"Persist canonical employer ID, ATS, external job ID, canonical URL, captured-at time, snapshot hash, and semantic diff","Durable change detection is the real source-first advantage","Every retained role can show exactly what changed and when"
SRC-06,P1,Job sourcing,30 days,"Prioritize daily refresh for target companies and active pursuits; run broad sweeps less often","More inventory is not the goal and broad scans create review noise","The system surfaces 3 to 5 decision-worthy roles per week with a measured false-positive rate"
SRC-07,P1,Job sourcing,60 days,"Treat aggregators and search APIs only as discovery leads requiring official-source verification","Marketplaces own breadth, but the Engine can own evidence quality","No role advances to material work without official or explicitly labeled fallback evidence"
SRC-08,P1,Job sourcing,90 days,"Add user-authorized manual mandate, recruiter, board, investor, advisor, and alumni signals","Public postings miss much executive opportunity supply","Private opportunities can be captured without broad mailbox ingestion or employer scraping"
SRC-09,P2,Job sourcing,6 months,"Create source health SLOs and adapter contracts rather than adding one-off scrapers","Importer and Edge source logic are large monoliths","Each adapter reports freshness, failure rate, coverage, robots or terms notes, and contract tests"
CAN-01,P0,Career Canon,24 hours,"Fix direct Canon route hydration so Resume Lanes and required evidence collections actually load","The route renders Resume Lanes but its view map does not request them","Direct reload shows the same 3 lanes and evidence counts as System"
CAN-02,P1,Career Canon,30 days,"Replace the flat 40-row list with searchable evidence cards and status tabs","The core moat currently looks like an internal table dump","Each fact exposes source, authority, excerpt, variants, sensitivity, recency, uses, and conflicts"
CAN-03,P1,Career Canon,30 days,"Separate private contact, verified facts, needs-review assertions, and prohibited claims","Phone, email, approved facts, cautions, and prohibited rules are visually mixed","Default view shows usable approved evidence; sensitive and prohibited data require deliberate filters"
CAN-04,P1,Career Canon,30 days,"Create a role-to-Canon evidence-gap intake flow","Missing evidence should trigger verification, not resume inflation","A user can answer a targeted question, attach a source, approve the fact, and rescore the role"
CAN-05,P1,Career Canon,60 days,"Make Canon onboarding import-first and question-minimizing","Manual upkeep can become more work than maintaining a resume","Median time to first useful verified Canon is under 60 minutes in concierge pilots"
CAN-06,P2,Career Canon,6 months,"Add fact expiry, supersession, conflict resolution, consented sharing, export, and deletion","Multi-user trust depends on candidate ownership over evidence","Every fact has lifecycle state and candidate-controlled portability"
MAT-01,P0,Resume and materials,24 hours,"Split artifact integrity from pursuit strategy, qualification readiness, and operational readiness","An approved ATS artifact can still be a cold-application no-go","The UI can say artifact safe while pursuit recommendation is warm intro or do not apply"
MAT-02,P0,Resume and materials,24 hours,"Require deterministic per-factual-clause mapping to approved Canon evidence before employer-use approval","Matched_fact_ids greater than zero does not prove complete coverage","One hundred percent of factual clauses map to admissible facts; unsupported-claim escapes equal zero"
MAT-03,P0,Resume and materials,24 hours,"Report packet readiness as exact usable versus blocked document counts","One role can show a ready kit when 8 of 9 outputs lack per-document evidence","Banner states 1 of 9 usable and names blockers by document"
MAT-04,P0,Resume and materials,24 hours,"Choose pursuit channel before generating documents","Nine default outputs create cost, review burden, and irrelevant work","Cold ATS, warm intro, recruiter conversation, executive-network outreach, search-firm profile, interview prep, evidence-first, or pass is selected first"
MAT-05,P1,Resume and materials,30 days,"Generate the minimum artifact set required for the chosen channel","The current one-spine packet is too broad","Default generation produces no unused document type in pilot reviews"
MAT-06,P1,Resume and materials,30 days,"Run separate factual-integrity, role-coverage, executive-editorial, and ATS-parser reviews","One composite critic cannot clearly explain the failure mode","Each dimension has an independent score, evidence, blocker, and reviewer"
MAT-07,P1,Resume and materials,30 days,"Turn missing requirements into Canon verification questions or a channel change","A resume cannot manufacture unavailable evidence","The system treats do not cold apply as a successful decision"
MAT-08,P1,Resume and materials,60 days,"Replace full side-by-side version comparison with semantic diffs","Current comparison makes users reread entire documents","Diff shows claims added or removed, evidence links, narrative changes, keywords, length, pages, and unresolved feedback"
MAT-09,P1,Resume and materials,60 days,"Give promoted learning rules provenance, scope, conflicts, examples, confidence, and review dates","A single edit should not silently become a global writing rule","No global rule is active without explicit scope, approver, and traceable origin"
MAT-10,P2,Resume and materials,6 months,"Create distinct ATS, executive narrative, recruiter bio, board profile, warm-intro memo, and interview-story models","Executive channels demand different evidence density and voice","Blinded advisors prefer channel-specific outputs over one generic resume family"
UX-01,P0,UI and UX,24 hours,"Preserve focus and update only the result region while typing filters","Current input handlers replace the full root DOM on each keystroke","A multi-word filter can be typed uninterrupted with focus and selection preserved"
UX-02,P0,UI and UX,24 hours,"Use loading and partial states instead of empty zero states during direct-route hydration","Direct Find roles and Next actions can briefly claim no rows while data is still loading","No authenticated route renders a false empty state before required data resolves"
UX-03,P1,UI and UX,30 days,"Reduce Review today to 3 to 5 roles and move the rest into saved, later, and all","Fifteen best roles still creates decision fatigue","A user identifies the next role to review within 30 seconds"
UX-04,P1,UI and UX,30 days,"Replace the company mega-select with search, multi-select chips, saved cohorts, and exclusions","The current long select is difficult to scan and maintain","Target companies can be found or changed in under 20 seconds"
UX-05,P1,UI and UX,30 days,"Create a persistent role decision rail with source, rank rationale, qualification, pursuit channel, comp, relocation, and next action","Decision facts disappear in a long workspace","The same decision summary remains visible across Evidence, Materials, and Track"
UX-06,P1,UI and UX,30 days,"Group Next actions by role or workflow and dedupe indistinguishable approval items","Live queue shows repeated OpenAI review actions without differentiating them","Every card names artifact or gate and duplicate-looking items are grouped"
UX-07,P1,UI and UX,30 days,"Add explicit focus-visible styles, selected-state semantics, 44px targets, reduced-motion support, and keyboard patterns","Current CSS exposes accessibility risks that have not been audited","Keyboard, VoiceOver, Axe, 200 percent zoom, 320px reflow, and target-size checks pass"
UX-08,P2,UI and UX,90 days,"Restructure the role workspace into Decide, Evidence, Materials, and Track","Current progressive disclosure is strong but still one long mixed page","Users complete the core journey without opening System or raw workflow records"
ARCH-01,P0,Architecture,24 hours,"Document the source-of-truth split and prohibit production decisions from stale local copies","Three materially different frontends exist and the stale copy can mislead review","One architecture map names live repo, proof app, stale portal copy, backend, and authority"
ARCH-02,P1,Architecture,30 days,"Extract application state, ranking, source readiness, qualification, and document release into tested domain modules","The 9,087-line IIFE mixes business rules, queries, rendering, and actions","Each domain has pure contracts and view code consumes typed view models"
ARCH-03,P1,Architecture,60 days,"Introduce incremental view updates and a query cache without a wholesale framework rewrite","Full-root rendering makes focus, polling, and partial hydration fragile","Editing one region does not replace unrelated controls or lose scroll"
ARCH-04,P1,Architecture,60 days,"Consolidate design tokens, component states, and breakpoints","The 7,754-line CSS contains repeated overrides and media blocks","One token layer drives typography, spacing, color, targets, focus, and responsive behavior"
ARCH-05,P1,Architecture,90 days,"Split the 13,812-line Edge orchestration file and 4,681-line importer by domain and adapter contracts","Reliability fixes are harder inside backend monoliths","Workflow, search, source adapters, scoring, evidence, and persistence are isolated behind tests"
SEC-01,P0,Privacy and trust,24 hours,"Do not accept external candidate data until tenant isolation, candidate ownership, deletion, and export are proven","The product is Matthew-specific and current auth proves one allowed user, not multi-tenant safety","Real cross-user denial, row isolation, full export, deletion, and audit-log tests pass"
SEC-02,P1,Privacy and trust,30 days,"Publish a plain-language data map and provider registry with purpose, retention, training posture, region, and subprocessors","Premium executive users need inspectable discretion","Every data class and model call has a documented controller, purpose, retention, and deletion path"
SEC-03,P1,Privacy and trust,30 days,"Keep automatic employer actions at zero and make every external handoff manual and logged","Automation is commoditized and creates reputational and terms risk","No send, submit, upload, message, or live-interview action exists without a separate explicit gate"
GTM-01,P0,Commercial,24 hours,"Permit Matthew-only use and sanitized buyer interviews; defer external logins","The software is not yet a tenant-ready commercial product","No third-party PII enters the current production environment"
GTM-02,P1,Commercial,30 days,"Sell one tightly scoped 12-week concierge Search Pass to at most five users after trust gates pass","The initial product may be a tech-enabled service rather than pure SaaS","All human minutes, model costs, corrections, support, and outcomes are recorded"
GTM-03,P1,Commercial,90 days,"Choose SaaS, service, or stop from paid evidence","Breadth can hide weak willingness to pay and poor unit economics","At least 15 paid customers from 60 qualified demos, 60 percent weekly active use, and 70 percent gross margin including human time"
GTM-04,P2,Commercial,9 months,"Pilot candidate-controlled coach and boutique outplacement workspaces only after individual value is proven","Advisor distribution can become a moat but creates confidentiality and permissions complexity","Three paid pilots deliver 30 percent more client capacity or 40 percent less review time"
